context	result	golden_standard
...ой, у тебя же... ну, подожди, сейчас... не суетись... -- у него действительно был слишком вялый хуй, но он именно так и хотел: протиснуться в Славку, в ее горячую пизду и из-за ее тепла, внутри нее уже, чтобы хуй стал сильным... Она морщилась от этого втискивания, она бы хотела, чтоб он в нее вонзился уже готовым оружием. Да, как оружием наказания! Но она-то ведь горячая, мягкая -- хорошая! -- значит и наказания уже не будет... говори же что-нибудь, ну... что ты всегда, как немой... ааа, что... ну, хорошо мне... зачем тебе, чтобы я говорил?.. ты меня не любишь... ой! пряжка, ну! твоя пряжка мне в попу прямо... Она стянула его брюки ниже. «Зачем ей, действительно, чтобы я говорил? О любви! Озвереть...»...хорошая... мягкая, теплая... ну, ты меня немножечко любишь? да?.. да, немножечко... множечко люблю твою...	Second	First
Верка вдруг сжала бока и дернулась назад, и Пал Егорыч подумал, что руки у него уже нет, и боль прекратилась, только горячий толчок от плеча в грудь. А потом боль пришла снова, и заломило в руке, и Пал Егорыч обрадовался, и продвинул руку по скользкой шерсти вверх, и ощупал мягкую шею, и вспомнил, как он обнимал за шею телка Яшку, когда и сам был маленький, и как они ходили с матерью доить днем коров прямо на выпас, в полдень. Эта дойка так и называлась -- «полдень», и ведро с молоком от этой дойки называлось «полдень». И Пал Егорыч заплакал уже со слезами, и продвинул руку еще вверх.	First	First
Илюха глядел на небо. Звездочка висела только одна и та далеко. А луна блестела рядом на снегу, чиркая теплым светом по лежавшей возле косе. Коса изгибалась месяцем, повторяя луну, и мягкая желтизна отблеска прерывалась черным -- от крови. А кругом белый снег и в лунке вода.	Second	Second
Илья оделся, взял ведра и пошел через сени. Снег пушился, заволакивая мир, и валенки проваливались в мягкую наметь. Будто ступаешь по илистому дну. Ведра нехотя звенели пустым.	Second	Second
На Майорке, на богатом пляже Форментор, где бродят по сверкающему белому песку богатые немки, шведки в американки с лицами тридцатилетних, подтянутыми титьками на хорошие сорок и узловатыми коленями, выдающими настоящие шестьдесят, он пристроился. Носил за такой красавицей шезлонги и полотенца, натирал ее сухую и тонкую, сплошь в рыжих веснушках кожу английским кремом, кидал в воде огромный мяч, приносил пол-литровые серые банки пива «Хенингер», которое она пила, чередуя с вином, как франкфуртский вокзальный алкаш. Бродил по пляжу в длинных и широких шортах, выцветшие добела волосы были собраны сзади в косицу, в левом ухе болталась серьга -- все, как положено здешнему жиголо. А вечером надевал черный шелковый пиджак, подвертывал рукава -- бабам очень нравилась эта мода, открывающая мощь волосатых рук, на правом запястье брякал браслет, на левом -- два, цепочки блестели на шее, выделяясь на красно-бурой коже вечно загорелого блондина... И шли танцевать, он плотно прижимал мягкий живот и туго упакованную грудь, прижавшись, крутили задницами под суперхит сезона, гремящий круглые сутки по всему миру. Потом он гладил как бы ничем не наполненную кожу, двигающуюся под руками, словно шелковистый полупустой пакетик из супермаркета, более или менее профессионально стонал, воспроизводя страсть и бдительно следя, чтобы она, взревев, не вцепилась ногтями, -- потом же сама будет на пляже смущаться -- и, переждав минуту-другую после того, как она кончала орать и дергаться, бурно демонстрировал собственные судороги. Через полчаса, приняв душ в ванной, жарко блистающей медными кранами и черным кафелем, выпив стаканчик «Гленфиддиша», дивного виски, которым, с учетом его вкусов, всегда был полон бар в номере, он целовал усталую старушку, наивно делавшую вид, что уснула, садился в приличненький «остин», подаренный ее предшественницей, совершенно потрясенной русской мощью и размахом, -- и ехал к Юльке.	Second	Second
Вдруг опять отчаянно поссорились. Она почему-то вспомнила, как долго и тяжело изживала южный акцент, хороша была бы из нее дикторша с мягким «г» и английским «дабл-ю» вместо «в»... Сразу полезли ассоциации, он взбесился. Осталась навеки благодарна учителю? Сколько можно рассказывать о своих романах, своих отношениях... Ну конечно, ты же привык сам быть центром мироздания, только твоя жизнь представляет интерес. Да, ты знаешь, я действительно так привык, а с тобой я все время чувствую себя средством. Что?! Да-да, средством! Мы поменялись ролями! Мне все время кажется, что ты меня прервешь на полуслове, как грубый мужик прерывает глупую девчонку, и скажешь -- раздевайся, дура! Мне кажется, что ты действительно интересуешься мною только лежа... Ты усвоила все худшее в мужском поведении...	Second	Second
-- Едва ноги унес, -- вздохнул он. И засмеялся мягким дворянским смешком. -- А вы, надобно признать, весьма тут поднаторели выходить из отчаянных ситуаций. Подучились! М-да... Вот вам и еще один светлый праздник освобождения. Погромы, истребительные отряды, голод и общий ужас... Потом, естественно, разруха, потом железной рукой восстановление... Бывших партийных функционеров уже по ночам увозит Комиссия. Все ради будущего светлого царства любви и, главное, -- справедливости. Но... Время будет идти... Через десять лет, если доживете, будете отвечать на вопрос: чем занимались до девяносто второго года? А не служили в советских учреждениях? А не состояли в партии или приравненных к ней организациях? Не ответите -- сосед поможет... И поедут оставшиеся в живых верные бойцы Реконструкции куда-нибудь в Антарктиду... Лед топить.	Second	Second
Впрочем, я еще более отвлекся, так что лучше скажу коротко: платок на Инне Григорьевне был деревенский, но все прочее абсолютно городское и даже очень модное. Под платком скрывалась темно-красная шляпка, имевшая форму как бы растянутой в ширину и немного приплюснутой пилотки, но сделанная не из сукна, не из офицерской диагонали, а из фетра. Впоследствии, примерно через сорок лет, когда такие шляпки опять вошли в моду, их стали называть таблетками и вновь носить сдвинутыми косо вперед, к правой или левой брови, а тогда, ветреной, пуржистой ночью в поселке Сретенск Инна Григорьевна шляпку надела поплотнее, да еще и примотала сверху платком, который покрывал отчасти и плечи, поэтому не было видно небольшого, вокруг шеи обернутого воротника, представлявшего собой мягкое чучелко рыжей лисички, с головой и лапами, причем лапы были с коготками, а голова смотрела стеклянными глазами почти осмысленно, и, если бы не уже столько раз помянутый, скрывавший лису платок, можно было бы сказать, что они вдвоем высматривали дорогу: молодая женщина и мертвая лисица с ее плеча.	Second	First
Причем именно потеряла и именно сознание -- только так можно определить то, что с нею произошло, а не «погрузилась в беспамятство», например, или «лишилась чувств». Совершенно напротив: никакого из свойственных человеку чувств она, свисая мягкой куклой с руки высокого в черном, не утратила и память сохранила, и потом долгие годы помнила этот удивительный случай, хотя вспоминать вслух не любила, более того -- честно говоря, никогда и никому не рассказывала, даже мужу своему Ионе Ильичу Шорникову и, конечно, мне, своему сыну, Михаилу Яновичу Шорникову. Поэтому, как обычно бывает с тайными эпизодами жизни, с течением времени все стало искажаться, утрачивая одни и приобретая другие детали, меняя очертания и даже последовательности. Тем не менее, случай был, она знала точно. А что сознание потеряла, так это ничего не значит, просто Инна перестала сознавать, насколько странно, необъяснимо и, может, даже опасно то, что с нею происходит, это сознание как бы выпало из нее, как могли бы сейчас выпасть из карманов и потеряться в снегу монеты или ключи -- но у нее в пальто не было карманов, а сознание именно потерялось, раз -- и нету, исчезло, и ничего уже не странно и не страшно, просто висишь себе в воздухе, под мышкой какого-то мужчины в черной, кажется, шинели, возможно, флотского офицера и, кажется, он говорит хриповатым своим простуженным голосом:	Second	Second
Гарик проехал в высокую арку и остановился в большом и пустом дворе, часть которого занимала поднятая над землей плоская, огражденная низкой балюстрадой крыша старинного бомбоубежища. Со всех сторон во двор смотрели сотни окон огромного дома, состоящего из многих секций, соединенных арками. Это был один из величайших памятников «гранд эпок», безукоризненно реставрированный и ставший фешенебельным жильем для модных артистов, художников, популярных музыкантов, зарабатывающих бешеные деньги, телевизионных звезд и просто богатых людей, имеющих богемные вкусы. На заасфальтированной крыше бомбоубежища несколько человек прогуливались с собаками, посередине стояли деревья в кадках и белые металлические стулья, как во французском парке, на одном из них, далеко перед собой вытянув ноги, дремал с газетой пожилой джентльмен в мягкой шляпе с опущенными полями и длинном песочном пальто, на других расположились молодые дамы, рядом стояли коляски и копошились дети.	Second	First
Черные длинные пряди по плечам, мягкое юношеское лицо, карие глаза с робким, неуверенным выражением, черное глухое трико -- таким встал второй по левую руку.	Second	Second
Раз в пару недель муж улетал в Цюрих, в Лондон, в Кельн, черт его знает куда, но это мало что изменяло, огромное семейство держало ее цепко, при непредставимых их деньгах у них не было постоянной прислуги, только убирать приходила какая-то бестолковая тетка, бывшая министерская служащая, а она сама ездила по магазинам, вдвоем с матерью готовили на всю ораву. Но все-таки, когда муж был в отъезде, становилось немного свободнее. Охранника, стокилограммового блондина с мягким лицом русской девицы, посылали на джипе за дочерью в школу, оттуда он вез девочку в бассейн, на теннис, на дополнительный английский, ждал у дверей, вытирал мокрые волосики своим полотенцем с надписью «Сборная СССР», тащил, вспотевшую, под полой своей куртки, стараясь не прижать больно к кобуре, в ответ получал полное обожание десятилетней красавицы. Тем временем у меня раздавался звонок, я еду на Черемушкинский... будь на углу... минут сорок выкроим, да?..	Second	Second
-- У меня нет трудностей, -- сказал подполковник и засмеялся. У него было красивое загорелое лицо с мягким украинским носом. Из-под фуражки голубела аккуратно подстриженная седина. Глаз в темноте видно не было. -- Но вас, сержант, я хочу попросить о помощи. Я здесь по службе, сопровождаю спецвагон. Вон он стоит...	Second	Second
И щетинистый сейчас же заткнулся и сел. Но при этом сел он мимо стула, который кто-то из соседей быстро из-под него выдернул. Раздался мягкий шлепок, будто уронили тесто, и над столом взлетели ноги в сандалиях и съехавших носках. Хохот поднялся невообразимый, а щетинистого пересадили на диван, чтобы не падал.	ZERO INTERSECTION	Second
Других, мне кажется, волновало то, что, если начнут по-настоящему разбираться с историей войны, разрушать нагроможденные мифы (их в избытке производит каждая война), это может всерьез задеть их боевую репутацию. Куда выгодней было следовать девизу «Победителей не судят!», сводить историю войны к воспеванию великого подвига: внешне, на словах -- вроде бы народа и армии, на деле -- прежде всего уцелевших, пребывавших к этому моменту в чести генералов. Некоторым из них, наверное, хотелось сохранять и умножать мифы и на них удобно, как на мягких перинах, почивать, не опасаясь, что их действия, их решения в период войны начнут разбирать историки.	Second	First
Не могу не привести в связи с этим мысль известного американского экономиста профессора Дж.Гэлбрейта. В американской политике, говорит он, долгое время доминировали два страха: один -- страх перед коммунизмом, свойственный преимущественно консерваторам, и второй -- страх показаться слишком мягким к коммунизму, особенно одолевающий либералов. Никсон и Киссинджер были слишком опытными и информированными политиками, чтобы всерьез поддаться первому страху, и имели достаточно безупречную репутацию консерваторов и антикоммунистов, чтобы им грозил второй. Это, кстати, помогло тогдашней администрации смелее своих предшественников действовать в отношениях не только с Китаем, но, несколько позже, и с Советским Союзом.	Second	Second
-- Сейчас, мой друг, -- обратилась она с мягкой нежностью к молодому человеку, -- мы будем писать письмо князю Александру Михайловичу Голицыну.	Second	Second
«Сообщаю Вам следующее: Виктор Владимирович Хлебников спустя неделю по прибытии в де-ревню Санталово Новгородской губернии тяжко захворал: паралич ног. Помещен мною в ближайшую больницу города Крестцы. Необходима скромная, но скорая помощь, ибо больница не может лечить его без немедленной оплаты за уход и содер-жание больного (больница переведена на самоснабжение), и второе -- не располагает медицински-ми средствами для лечения. Лично мы с женой не имеем средств оплатить эти расходы, и поэту грозит остаться без необходимой медицинской помощи. По мнению врача, ему нужно следующее: 1) 50 г йодистого кальция, 2) мягкий мужской ка-тетер (для спуска мочи), 3) 150-200 довоенных рублей. Прошу Вас ускорить оповещение общества по средствам печати о постигшем недуге Велимира Хлебникова и о том, что он не имеет абсолютно никаких средств к существованию. Такое положение материальной необеспеченности и неколеби-мой сосредоточенности на своем труде и привело его к настоящему положению. До последнего часа он приводил в окончательный порядок свой много-летний научный труд -- исследование Времени «Доски Судьбы»...	Second	Second
Подожди, я сниму чайник, а то он вопит на кухне, как ребенок с грыжей... (Выслушивает.) Хорошо тебе говорить: «Не обращай внимания», а он отплюнет на плиту свой драгоценный носик -- и я вновь без чайника. Ха-ха-ха! (Бросает трубку на кресло, уходит. Возвращается с чашкой чая. Попивая чай, продолжает разговаривать по телефону, но только как-то странно: не поднимая брошенную трубку.) Ну, холодрыга! В кровать ложусь в сапогах, как три мушкетера. Ха-ха-ха... Только чаем и спасаюсь... Вот черт! Был нормальный чай: налила в чашку, тут же стал зеленый. От меня в последнее время даже цветы вянут... Ха-ха-ха! Как ты думаешь: «Саша на дирижабле» -- это к чему? У меня есть старинный толкователь снов: «Сонник», 1902 года издания... Там написано: бить во сне любимого -- к свадьбе, целоваться с ним -- к ссоре... Представляешь? А вот про дирижабль ни слова! Ха-ха-ха! (Выслушивает ответ.) Да нет, все значительно проще. Вчера целый вечер я лицезрела Сашу в реальности -- в ресторане. И, как результат, он полетел на дирижабле. Ха-ха-ха! Ну, что ты, вчера был обалденный день! Подожди, закурю. (Закуривает.) Все утро я учила роль маляра, которую прислали с телевидения. Совершенно идиотская роль в такой же музыкальной передаче. Но когда самолет идет на аварийную посадку, не размышляешь о качестве аэродрома. Ха-ха-ха! И вот вчера лежу я с этой ролью на тахте, одиноко, как на мысе Челюскин... и пытаюсь учить роль... Не получается! В воскресенье у нас -- всюду жизнь! Этажом выше надо мной поселился какой-то Сизиф... Во всяком случае, все выходные с раннего утра он катает над моей головой тот самый камень. Подо мной гудит пылесос, как уборочная машина на полях. За стеной юная девица из самодеятельности разучивает над моим левым ухом танец «русские дробушки». А с правого уха, за другой стеной, глухой пенсионер орет: «Моцарт! Моцарт!» Моцарт -- это его кот, который все время теряется! (Выслушивает.) Ну что ты, во-первых, у меня, как ты знаешь, собака... А во-вторых, с некоторых пор я ненавижу котов... Понимаешь, я как-то однажды взяла себе котика... Ну все сделала как надо: поставила ему тазик для писанья -- в уборной, постелила ему одеяльце -- на собственной кровати... Отгадай, чем кончилось? Кот писал в мою кровать, а спал в тазике -- в уборной... Ха-ха-ха! Короче, лежу я со своим маляром среди всех этих созвучий... и вдруг отчетливо понимаю: сейчас сойду с ума! Врубаю телевизор, чтобы как-то заглушить всю эту вакханалию звуков... А в телевизоре... передо мной -- лицо певца! Который давно помер! И покойник глядит прямо на меня, приветливо улыбается и поет таким интимным голосом: «Все еще впереди... Все еще впереди»... Представляешь, какой оптимист! Тогда в ужасе я хватаю свою козлиную куртку -- и ходу! На улицу! Из дому! Но попробуй выйди зимой из моего дома! Там у нас такой ветер -- ветрило! Роза ветров! Из парадного я выхожу с третьей попытки. И тут же, моментально, ветер завязывает юбку морским узлом над моей головой... Кости отплясывают рок... а мой нежный носик тотчас остается у меня в руках... Так и несу его в ладонях. А еще говорят -- «Юго-Запад... Юго-Запад!!!» Вьюго-Запад. (Поднимает трубку с кресла.) Тебе вон смешно, а у меня трагедия: мне холодно жить! Ха-ха-ха! В общем, мне стало так себя жалко! Чувствую -- заболеваю гриппом. У меня первый признак гриппа -- это когда я начинаю себя жалеть. Вижу, нужно что-то предпринять. И вдруг, прямо на улице, во мне загорается адово пламя. Бесы тотчас подхватывают меня -- и я начинаю летать на метле по знакомым... Короче, я облетела по этому Южному полюсу километров пятьдесят знакомых. (Выслушивает.) Ну что там было? Все как у всех. Обильный стол с дефицитами... За столом поедали икру вместе с салатом и знакомыми... «Сидят и кушают бойцы товарищей своих». Ха-ха-ха! Но постепенно я отогрелась. Злословие очень согревает. Напоили они меня каким-то ужасно пьяным китайским вином... И я уже хотела отправиться на свой мыс Челюскин, чтобы забыться там одиноким китайским сном... Но тут опять -- бесы, бесы! И я несусь на своем помеле дальше -- над всемирным оледенением. Пока не выпала в осадок в ресторане «Витязь»! Ха-ха-ха! (Выслушивает.) Это необъяснимо, но после всего, что я съела в гостях, мне вдруг страшно захотелось снова есть. Ха-ха-ха! И чтобы была музыка, а не одинокий мыс Челюскин. Ха-ха-ха... Я была в ужасном, совсем нересторанном виде... Раньше я страшно комплексовала бы по этому поводу. Ты помнишь, какая я была модница -- раньше! Однажды я три часа просидела в мыслях: как соединить в одном туалете два активных цвета: красный и зеленый. Ха-ха-ха! Нет, насколько комфортнее моя жизнь с тех пор, как я стала феминисткой. Феминистка -- это прежде всего удобно: мужа нет, поэтому готовить не надо; весь туалет -- куртка и джинсы. Прическу -- тоже к дьяволу: короткая стрижка. Остальное все совершается ладонью: причесываемся, по мордасам бьем, когда пристают... Ха-ха-ха. (Насмешливо.) «Женщина может простить все, кроме испорченной прически». Теперь для меня это такая чушь! (Прислушивается.) Боже, как мне все это смешно! (Вновь прислушивается, замолкает.) Я не молчу... просто слушаю... (Вновь бодро.) Короче, вхожу в ресторанный зал в своем новом феминистском виде: джинсы, козлиная куртка с чересчур короткими рукавами... видать, козел был каким-то короткоруким... мое обычное везенье... и совершаю мягкую посадку на стул... Что не совсем просто при китайском вине в организме... И тотчас вижу за соседним столиком... Сашу! Он сидел с какой-то юной божьей тварью в блудливых лисах. Очень оживленно беседовал и не знал... что через несколько часов ему лететь на дирижабле. Ха-ха-ха! Естественно, этот сукин сын сделал вид, что меня не заметил. В этот напряженнейший момент заиграл оркестр, и он пошел танцевать мимо меня, изо всех сил глядя в другую сторону. Блудливая в лисах была очень юна и с какой-то неправдоподобно округлой задницей. Я даже подумала: может -- накладная? Ха-ха-ха! Короче, сижу я на своем одиноком стуле, на своей натуральной заднице абсолютно одна, как на мысе... нет, мыс уже был... как на полуострове Таймыр... и думаю: да наплевать мне на вас, я теперь -- феминистка. (Выслушивает.) Подожди, подожди... Дальше события разворачивались! Хоть выглядела я в инвалидном козле хуже некуда, ко мне тут же подсуетился какой-то усатый грузинец... Что делать, восточные люди всегда от меня без ума... Ха-ха-ха! И мы с грузинцем тотчас пустились в пляс... совсем недалеко от экс-любимого Саши... и его юной твари в блудливых лисах. (Замолчала, прислушивается.) Не могу! У меня все время ощущение: кто-то стоит за дверью. (Выслушивает.) Совсем это не бзик, ты просто не видела мою квартиру... Ну, это целая история! После ухода моего мужа Мартироса экс-любимый Саша решил преобразить мою двухкомнатную квартиру. Для этого он, как библейский Самсон, порушил все перегородки. Прихожая... коридор... кухня -- он все соединил с большой комнатой. И получился гигантский сарай... где я сейчас и проживаю. Ха-ха-ха! Дверь из этого сарая выходит прямо на лестницу... поэтому мне все время кажется, что там, за дверью, на лестнице кто-то стоит... (Вслушивается.) Нет, туалет он мне оставил, я туалет на коленях вымолила... Туалет и свою комнату, где он скрывался, когда пил. (Выслушивает.) Нет, мне туда поселиться нельзя -- там сейчас музей его имени... Мемориал памяти Саши. «Тени минувшие счастья уснувшего». Ха-ха-ха! Короче, танцую я в ресторане с грузинцем -- и вдруг чувствую жуткую боль! Опускаю глаза -- и вижу такую ногу! Ты не представляешь, какая это была нога! Я даже глаза протерла -- думаю, может, это китайское вино шалит! Я спрашиваю грузинца: «Скажите, пожалуйста, это у вас нога или нарочно?» «В смысле?» -- говорит он, танцуя рок и размахивая жуткой ногой... «танец с саблями». «В смысле, -- говорю я, увертываясь от его ножищи, -- может, вы прячете в ботинке дьявольское копыто? И вообще, милый мой, как вы живете с такой ногой?» Ха-ха-ха! (Выслушивает ответ.) А дальше? После таких вопросов, как ты догадалась, никакого «дальше» уже не бывает! Я всегда умею задать мужчине самый нужный вопрос! Ха-ха-ха! Но теперь мне на это наплевать, я -- феминистка! Ха-ха-ха! Вот так -- в плясках, играх и песнях прошел вечер... Ха-ха-ха!	Second	Second
Эту материализованную благодарность и восхищение давних лет раскладывали теперь десятилетние девочки на счастливом супружеском ложе, меж прекрасных, немецкой печати, репродукций поздней иранской живописи. Ни видом, ни цветом, ни запахом не сопрягалось одно с другим, но это и не имело никакого значения, потому что вся прелесть этой игры в том и состоит, что она творится из любого подручного материала, лишь бы только был включен ток высокого притяжения между розовым и голубым, мягким и твердым, влажным и сухим...	Second	Second
С Колывановой содрали юбку и напялили сине-зеленый халат с большим горящим драконом на спине. Два других дракончика, поменьше, были вышиты спереди, и втроем они вполне заменяли отсутствующую змею. На голову Колывановой надели меховую ушанку Алениного отца, обмотав ее оранжевой пижамой и елочной канителью. Малиновые пижамные штаны, преобразованные в шальвары, выглядывали из-под халата. Неподвижно и величественно стояла Колыванова, пока Алена рисовала ей усы и бороду, макая тонкую кисточку в квадратные фарфоровые отделения с жирной мягкой краской, изъятой из материнского туалетного стола. Усы получились, а борода не удавалась. Пришлось прилепить к подбородку кусок новогодней ваты.	Second	Second
Теперь Бела и Сурик сидели в мягких старых креслах в суровых чехлах, вполоборота к кушетке, и делали вид, что не слушают, о чем там шепчутся старик и девочка.	Second	First
Лена вызвала «скорую». Натренированные инфарктно-инсультивные врачи были в недоумении. Это был не их пациент, предложили вызвать специальную, психиатрическую. Приехали и эти. Ольга Александровна смиренно сидела в кресле, не отвечая на вопросы. Врачи щупали ее мягкие теплые руки, водили перед лицом глупым металлическим инструментом. Она покорно протягивала руки, а потом неуверенным, но вполне определенным движением снова укладывала их на подлокотники.	Second	First
Однажды ночью кот снова явился во плоти. Каким образом он проник в квартиру, осталось неизвестным. Лаз был забит, балкон и форточки закрыты, камин был вне подозрений, поскольку его прямой дымоход выходил непосредственно на крышу, и ни один кот, если он не насекомое, не смог бы преодолеть три с лишком метра абсолютно вертикальной трубы. Тем более что к устью камина был придвинут экран. Вероятно, чтобы обнаружить тот потайной ход, которым воспользовался кот, надо было бы разобрать весь этот старый дом. Кот влез на высоко подвешенную полку, накренил ее и сбросил таким образом всю тонкостенную черную керамику, чудо грузинского прикладного искусства, собранную Ниной еще в студенческие годы. Справившись с ужасом конца света, пережитым ею еще во сне, на фоне звенящего тусклым черным звоном обвала, Нина зажгла лампу и увидела, что пол завален черепками, а кот, не успевший раствориться одному ему известным способом, забился в угол и скалился оттуда наподобие цепной собаки. Это было столь мягкое продолжение ее кошмара, что она не сразу поняла, где находится -- в новом сне или в собственном доме...	Second	Second
Одной невероятно толстой особе, несомненно страдающей ожирением, он сказал с восхищением, пока она втискивала мягкий зад в седалище зубоврачебного кресла:	Second	Second
«Неужели и в Тифлисе, в маленькой армянской церкви в Солулаки, куда поднимались по ступенчатой улице, такое же оскудение и убожество? -- думала Леночка. -- Как красиво и торжественно было во времена детства, когда бабушка в лиловой бархатной шапочке с шелковыми завязками под мягким подбородком, нарядная, в светлом платье мама и сестра Анаит стояли впереди церковного народа, напротив единственной на беленой стене иконы Рипсимэ и Гаянэ, и пахло воском, ладаном, цветами...»	Second	Second
И все же между различными видами антисемитизма имеется лишь различие в степени: предпосылкой кровавых еврейских погромов, убийств и жестокостей всегда были определенный климат, обстановка терпимости к антисемитизму, пусть даже выступающему в самой мягкой или разбавленной форме».	Second	Second
Вся квартира (кроме столовой) в мягком бобрике -- шагов не слышно. В столовой пол в каких-то торцах -- так выложены полы в старинных французских домах. Двери всюду двойные. Удобная мебель -- кресла, диваны, стулья. Все старое, уютное, дорогое. Камины. Аксессуары все музейной работы. Картины Пикассо, Матисса, Леже, Шагала и Пиросмани.	Second	First
С утра в издательство «dtv», где получил экземпляр моей немецкой книги «Напиши мне стихи», репринт берлинского издания. Напечатана на лучшей бумаге, но в мягкой обложке.	Second	Second
30 октября. 26 октября Захаров прислал сокращенную до двухсот страниц мою рукопись, с тем чтобы я ее подправил, перевел на дискетку и в течение трех дней прислал обратно -- он собирается ее издать в мягкой обложке в ноябре. И вместо ста фото -- двадцать. Мы с Инной все сделали и отослали ему.	Second	Second
15 декабря. Очень весело отметили вчера радостное событие -- в издательстве «Искусство» вышла книга Инны «Тосиро Мифунэ»! Издана хорошо -- много иллюстраций, красивая, хоть и мягкая обложка с фотографией Мифунэ из «Расёмона».	Second	Second
Маленькая, наконец расслабившаяся в большом и широком кресле-кровати -- нелепом произведении советских шестидесятых, она листала томик, теплый свет согревал лицо, руки и книгу. Все обязательно кончалось громким бесстыдным храпом. Бабка была строга и мало думала о том, какое впечатление производит на окружающих. В ее резком голосе часто звучали командные, генеральские нотки. На работе перед ней трепетали -- могла отбрить, -- язык у нее был стервозный и точный. Глядела всегда в глаза собеседнику, говорила о деле -- мягкой и женственно-беззащитной видел ее, вероятно, я один.	Second	Second
В кустах у реки он построил шалаш; натаскал туда старых ватников, мягкой ветоши и спал там, на рассвете отправляясь удить. Мать особо не беспокоилась, знала, что, проголодавшись, обязательно придет домой. Ночью он ходил к Андроникову камню за свечными огарками, жег их, и в шалаше всегда вкусно пахло нагретым воском.	Second	First
В соседней типовой башне он легко перепилил дужку замка на чердачной решетке, зашел внутрь. Чердак был пуст, загажен голубями. Из вентиляционных окошек дуло. Единственное подходящее место -- куб посредине, лифтовый отсек. Здесь тоже висел замок, но он спилил и его и попал, по сути, в готовое помещение -- посередине две лифтовые лебедки на две шахты, по двум стенам на уровне пояса заизолированные, толстые трубы центрального отопления -- спертый воздух, цементная пыль, резкий запах машинного масла, лампочка под потолком. В дальнем углу -- выход на крышу. Досаждали, конечно, неожиданно включающиеся лебедки, вибрирующий пол, но к таким пустякам легко привыкаешь. Он вышел на мягкую гудроновую крышу. На соседнем доме посреди телевизионных антенн в одиночестве стоял Сохатый, глядел в город.	Second	First
Разобравшись с хозяйством, он затопил баню. Нашлись и два коричневых брикета хозяйственного, и два крупных обмылка хвойного мыла. Он прожарил тело, соскреб грязь, отстирал пропотевшее, закопченное белье. Отоспался. Впервые за долгое время он почувствовал, что у него есть волосы, что кожа пахнет, что она мягкая и приятная на ощупь.	First	First
В церкви было сумрачно и тепло, особенно после улицы, после сырого вечера, и намытая чистота, выметенные и битые-перебитые половички и коврики пахли остывающим ладаном, теплым воском и чем-то еще -- человеческим дыханием, что ли, но не спертым, не потным-задыхающимся, как по праздникам, а лишь остатками теплоты. Из глубины, соприсутствующие с мягким мраком, чуть только тронутые огоньком зеленых лампадок, проступали большие глаза -- первое, что притягивало взгляд, отблескивала чешуя позолоты на ликах, и, уже подготовленный, он стал различать фигуры, выходящие из столпов, парящие на стенах, проступающие на парусах большого и отдельно от всего живущего купола.	Second	Second
